"Category","Name","Celery","Gluten","Crustaceans","Egg","Fish","Lupin","Milk","Molluscs","Mustard","Nuts","Peanuts","Sesame Seeds","Soya","Sulphur Dioxide"
"Menu Item","Regular Hot Dog (not including sauces or toppings)","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","90g reduced salt sausage","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Large Hot Dog (not including sauces or toppings)","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","140g reduced salt sausage","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Regular Hot Dog (Halal) (not including sauces or toppings)","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","90g Halal sausage","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Large Hot Dog (Halal) (not including sauces or toppings)","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","fully baked baguette sliced","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","140g Halal sausage","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Ketchup","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Mustard","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Side","Crispy Onions","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Nachos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Cheese Dip","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Side","Salsa Dip","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Side","Sour Cream Dip","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Side","Jalapenos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Sweet Popcorn","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Corn Kernels","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Rapeseed Oil","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Sugar","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Salt Popcorn","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Corn Kernels","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Rapeseed Oil","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","PDV Salt","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Mixed Popcorn","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Corn Kernels","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Rapeseed Oil","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Sugar","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","PDV Salt","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Coca‐ Cola","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Coke Zero","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Diet Coke","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Franta Orange","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Sprite","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Sprite Zero","No","TBC","TBC","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Lemonade (Cinema Bars)","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Raspberry Tango Ice Blast","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Cherry Tango Ice Blast","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Lemon Tango Ice Blast","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Nacho Grande","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Ingredient","tortilla wrap","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Nachos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Mozzarella & cheddar mix","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Ingredient","Salsa","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Ingredient","Guacamole","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Ingredient","Sour cream","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Ingredient","Jalapenos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Deli Orient","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes"
"Ingredient","Peking duck spring rolls","No","YES","No","No","No","No","No","No","No","No","No","YES","YES","No"
"Ingredient","Crispy chilli beef","No","YES","No","YES","No","No","No","No","YES","No","No","No","No","No"
"Ingredient","Battered king prawns","No","YES","YES","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Prawn toast","No","YES","YES","YES","No","No","No","No","No","No","No","YES","YES","No"
"Ingredient","Sweet chilli sauce","No","No","No","No","No","No","No","No","No","No","No","No","No","YES"
"Ingredient","Hoi sin sauce","No","YES","No","No","No","No","No","No","No","No","No","YES","YES","YES"
"Ingredient","Sweet & sour sauce","No","YES","No","No","YES","No","No","No","No","No","No","No","No","YES"
"Ingredient","Cucumber","No","NO","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Nachos","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"Ingredient","Nachos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Mozzarella & cheddar mix","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Ingredient","Salsa","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Ingredient","Guacamole","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Ingredient","Sour cream","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Ingredient","Jalapenos","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Peking Duck Spring Rolls","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes"
"Ingredient","Peking duck spring rolls","No","YES","No","No","No","No","No","No","No","No","No","YES","YES","No"
"Ingredient","Hoi sin sauce","No","YES","No","No","No","No","No","No","No","No","No","YES","YES","YES"
"Menu Item","Crispy Chilli Beef","No","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes"
"Ingredient","Crispy chilli beef","No","YES","No","YES","No","No","No","No","YES","No","No","No","No","No"
"Ingredient","Sweet & sour sauce","No","YES","No","No","YES","No","No","No","No","No","No","No","No","YES"
"Menu Item","Thai Fish Cakes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes"
"Ingredient","Thai fish cakes","No","No","YES","YES","YES","No","No","No","No","No","No","No","No","YES"
"Ingredient","Sweet chilli sauce","No","No","No","No","No","No","No","No","No","No","No","No","No","YES"
"Menu Item","Houmous & Flatbread","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Ingredient","Arctic flatbread","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","100g houmous","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"Menu Item","Artisan Bread","No","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","No","Yes"
"Ingredient","Garlic & Rosemary bread","No","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","No","No"
"Ingredient","Fruit & nut bread","No","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","No","No"
"Ingredient","40ml olive oil","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","40ml balsamic vinegar","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
"Menu Item","Gourmet Hot Dog","No","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No"
"Ingredient","Gourmet Meister Dog","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"Ingredient","6 Brioche roll","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO"
"Ingredient","Gourmet American Tomato Relish","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Ingredient","Gourmet American Mustard","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Ingredient","Crispy onions","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Ingredient","Pickled cucumber spears with dill","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Menu Item","Gourmet Jelly Beans","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Milk Chocolate Raisins","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No"
"Menu Item","Pistachio Nuts","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Menu Item","Smoky Chilli Nuts","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"Menu Item","Chilli Puffs","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No"
"Menu Item","Habas Fritas","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Mixed Olives","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Menu Item","Country Carrot Cake","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes"
"Menu Item","Luxury Chocolate Cake","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No"
"Menu Item","Victoria Sponge Cake","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No"
"Menu Item","Coffee & Walnut Cake","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No"
"Menu Item","Lemon & Ginger Cake","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No"
